ts,answers_json
2025-10-26T21:47:54.011076,"{""0"": -3, ""3"": -3, ""6"": -3, ""9"": -3, ""12"": -3, ""15"": -3, ""18"": -3, ""21"": -3, ""24"": -3, ""27"": -3, ""30"": -3, ""33"": -3, ""36"": -3, ""39"": -3, ""42"": -3, ""45"": -3, ""48"": -3, ""51"": -2, ""52"": 2, ""53"": -2, ""54"": 2, ""55"": 1, ""56"": -2, ""57"": -2, ""58"": 3, ""59"": -3, ""60"": 3}"
2025-10-27T04:35:31.279482,"{""0"": 3, ""3"": -2, ""4"": 3, ""5"": 2, ""6"": -1, ""7"": 0, ""8"": -2, ""9"": 1, ""10"": -3, ""11"": -2, ""12"": 3, ""15"": 1, ""16"": -1, ""17"": 0, ""18"": -2, ""19"": 2, ""20"": 3, ""21"": -1, ""22"": 3, ""23"": 3, ""24"": 0, ""25"": 0, ""26"": 1, ""27"": 1, ""28"": -1, ""29"": -2, ""30"": 2, ""31"": 1, ""32"": 2, ""33"": -2, ""34"": 2, ""35"": -2, ""36"": -1, ""37"": -2, ""38"": -1, ""39"": 3, ""42"": 3, ""45"": 2, ""46"": 0, ""47"": -3, ""48"": -1, ""49"": -3, ""50"": 3, ""51"": -2, ""52"": 3, ""53"": -1, ""54"": 0, ""55"": 2, ""56"": 3, ""57"": -3, ""60"": -1, ""61"": 3, ""62"": 3}"
2025-10-27T04:36:38.757377,"{""0"": 0, ""1"": 3, ""2"": 2, ""3"": -1, ""4"": -1, ""5"": 0, ""6"": -2, ""7"": -2, ""8"": -2, ""9"": -2, ""10"": 2, ""11"": 2, ""12"": -3, ""15"": 3, ""18"": 3, ""21"": 3, ""24"": 3, ""27"": 3, ""30"": 3, ""33"": 3, ""36"": -3, ""39"": -3, ""42"": -3, ""45"": -1, ""46"": 1, ""47"": 2, ""48"": 0, ""49"": -1, ""50"": -2, ""51"": 1, ""52"": -1, ""53"": -1, ""54"": 2, ""55"": 3, ""56"": 2, ""57"": -1, ""58"": 1, ""59"": 1, ""60"": -2, ""61"": 0, ""62"": -1}"
2025-10-27T04:40:07.532133,"{""0"": -2, ""1"": 3, ""2"": 0, ""3"": 3, ""6"": 2, ""7"": -2, ""8"": -3, ""9"": 3, ""12"": 3, ""15"": -3, ""18"": -2, ""19"": 3, ""20"": 3, ""21"": 1, ""22"": 2, ""23"": -2, ""24"": 3, ""27"": -3, ""30"": -1, ""31"": -3, ""32"": 3, ""33"": 0, ""34"": 3, ""35"": 2, ""36"": 3, ""39"": -3, ""42"": -1, ""43"": -2, ""44"": -3, ""45"": 3, ""48"": 2, ""49"": 3, ""50"": 3, ""51"": 3, ""54"": 3, ""57"": -2, ""58"": -2, ""59"": -1, ""60"": -2, ""61"": -3, ""62"": 0}"
2025-10-27T05:17:57.533090,"{""0"": -3, ""3"": -1, ""4"": -2, ""5"": 2, ""6"": 3, ""9"": 1, ""10"": 3, ""11"": 3, ""12"": 2, ""13"": -3, ""14"": -2, ""15"": -3, ""18"": -1, ""19"": -1, ""20"": 3, ""21"": 3, ""24"": -2, ""25"": -3, ""26"": 2, ""27"": 2, ""28"": -2, ""29"": 3, ""30"": -3, ""33"": 3, ""36"": 3, ""39"": 3, ""42"": 3, ""45"": -3, ""48"": -2, ""49"": 3, ""50"": -3, ""51"": 2, ""52"": -2, ""53"": 2, ""54"": 3, ""57"": 3, ""60"": -2, ""61"": -1, ""62"": 3}"
2025-10-27T05:21:43.930226,"{""0"": 3, ""3"": -2, ""4"": 3, ""5"": -2, ""6"": -3, ""9"": -3, ""12"": 3, ""15"": 3, ""18"": -3, ""21"": -3, ""24"": 3, ""27"": -2, ""28"": 3, ""29"": -3, ""30"": 3, ""33"": -3, ""36"": 3, ""39"": 3, ""42"": -3, ""45"": 2, ""46"": 3, ""47"": -2, ""48"": -3, ""51"": -3, ""54"": 3, ""57"": 2, ""58"": 3, ""59"": 3, ""60"": 3}"
2025-10-27T05:22:25.725590,"{""0"": 3, ""3"": 3, ""6"": 3, ""9"": -3, ""12"": -3, ""15"": -3, ""18"": -3, ""21"": -3, ""24"": -3, ""27"": -3, ""30"": -3, ""33"": -2, ""34"": 3, ""35"": -2, ""36"": -3, ""39"": -3, ""42"": -3, ""45"": -3, ""48"": -3, ""51"": -3, ""54"": -3, ""57"": -3, ""60"": -3}"
2025-10-27T05:23:48.162132,"{""0"": 0, ""1"": -1, ""2"": 0, ""3"": 0, ""4"": -2, ""5"": 2, ""6"": 0, ""7"": 0, ""8"": 0, ""9"": 0, ""10"": 1, ""11"": -3, ""12"": 3, ""15"": 3, ""18"": 3, ""21"": 3, ""24"": -3, ""27"": -2, ""28"": -2, ""29"": -2, ""30"": -3, ""33"": -2, ""34"": -2, ""35"": 2, ""36"": 0, ""37"": -2, ""38"": -2, ""39"": -3, ""42"": -3, ""45"": -3, ""48"": -1, ""49"": -2, ""50"": -2, ""51"": -3, ""54"": -3, ""57"": -3, ""60"": -3}"
2025-10-27T05:24:08.215605,"{""0"": 0, ""1"": -1, ""2"": 0, ""3"": 0, ""4"": -2, ""5"": 2, ""6"": 0, ""7"": 0, ""8"": 0, ""9"": 0, ""10"": 1, ""11"": -3, ""12"": 3, ""15"": 3, ""18"": 3, ""21"": 3, ""24"": -3, ""27"": -2, ""28"": -2, ""29"": -2, ""30"": -3, ""33"": -2, ""34"": -2, ""35"": 2, ""36"": 0, ""37"": -2, ""38"": -2, ""39"": -3, ""42"": -3, ""45"": -3, ""48"": -1, ""49"": -2, ""50"": -2, ""51"": -3, ""54"": -3, ""57"": -3, ""60"": -3}"
2025-10-27T05:40:36.927923,"{""0"": 2, ""1"": 0, ""2"": 2, ""3"": 0, ""4"": 2, ""5"": 3, ""6"": 2, ""7"": 3, ""8"": 3, ""9"": 2, ""10"": 3, ""11"": 3, ""12"": 2, ""13"": 3, ""14"": 3, ""15"": 1, ""16"": 3, ""17"": 3, ""18"": 3, ""21"": 0, ""22"": 3, ""23"": 3, ""24"": 3, ""27"": 0, ""28"": 3, ""29"": 3, ""30"": 1, ""31"": 3, ""32"": 3, ""33"": 1, ""34"": 3, ""35"": 3, ""36"": 2, ""37"": 3, ""38"": 3, ""39"": -1, ""40"": 3, ""41"": 3, ""42"": 2, ""43"": 3, ""44"": 3, ""45"": 3, ""48"": 3, ""51"": 0, ""52"": 3, ""53"": 3, ""54"": -2, ""55"": 3, ""56"": 3, ""57"": 1, ""58"": 3, ""59"": 3, ""60"": 0, ""61"": 3, ""62"": 3}"
2025-10-27T05:46:11.106555,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0, ""6"": 0, ""7"": 0, ""8"": 0, ""9"": 0, ""10"": 0, ""11"": 0, ""12"": 0, ""13"": 0, ""14"": 0, ""15"": 0, ""16"": 0, ""17"": 0, ""18"": 0, ""19"": 0, ""20"": 0, ""21"": 0, ""22"": 0, ""23"": 0, ""24"": 0, ""25"": 0, ""26"": 0, ""27"": 0, ""28"": 0, ""29"": 0, ""30"": 0, ""31"": 0, ""32"": 0, ""33"": 0, ""34"": 0, ""35"": 0, ""36"": 0, ""37"": 0, ""38"": 0, ""39"": 0, ""40"": 0, ""41"": 0, ""42"": 0, ""43"": 0, ""44"": 0, ""45"": 0, ""46"": 0, ""47"": 0, ""48"": 0, ""49"": 0, ""50"": 0, ""51"": 0, ""52"": 0, ""53"": 0, ""54"": 0, ""55"": 0, ""56"": 0, ""57"": 0, ""58"": 0, ""59"": 0, ""60"": 0, ""61"": 0, ""62"": 0}"
